행정구역(시)별,토지지목별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
제주시,하천,토지지목별 현황[㎡],㎡,11033260.3,11047371.3,11067472.3,11085649.3,11115204.3,11160643.3,11161450.3,11190578.8
제주시,제방,토지지목별 현황[㎡],㎡,210264.9,210884.9,210819.9,208722.9,214192.9,214192.9,228470,229207
제주시,구거,토지지목별 현황[㎡],㎡,1196193.3,1198480.3,1240132.3,1248366.3,1266331.3,1270349.3,1285759.2,1318495.2
제주시,유지,토지지목별 현황[㎡],㎡,1902020.6,1957698.6,2011688.6,2031041.6,2134600.6,2293438.6,2311331.6,2487902.6
제주시,양어장,토지지목별 현황[㎡],㎡,678875,714222,767933,777427,800759,812482,841074,841992
제주시,수도용지,토지지목별 현황[㎡],㎡,648009.2,825231.2,984751.2,982675.2,984801.2,986636.6,987040.6,994961.1
제주시,공원,토지지목별 현황[㎡],㎡,1475624.5,1475624.5,1475624.5,1905473.7,1945122.8,1947552,1947552,1952273
제주시,체육용지,토지지목별 현황[㎡],㎡,17693153,17807915.1,17813188.1,17824438.1,17823729.1,17845931.1,17883652.1,17926266.1
제주시,유원지,토지지목별 현황[㎡],㎡,1870220.9,2096352.7,2096352.7,2353327.7,2451613.7,2470416.7,2513636.7,2557001.8
제주시,종교용지,토지지목별 현황[㎡],㎡,594554.9,601562.9,621966.9,650593.6,667986.7,693784.7,708437.7,716726.7
제주시,사적지,토지지목별 현황[㎡],㎡,388239,388239,390666,466179,499012,539360,564969,564969
제주시,묘지,토지지목별 현황[㎡],㎡,8584776,8588271,8591619,8568483,8538823,8550171,8567560,8586475
제주시,잡종지,토지지목별 현황[㎡],㎡,16817774.9,17209302.1,17438708.1,17965242.1,18181776,18235239.8,18869288.7,19087977.9
서귀포시,계,토지지목별 현황[㎡],㎡,870931315,870962911,870931086.4,870729789,870729225.9,870721850.6,871474203.7,871464625.4
서귀포시,전,토지지목별 현황[㎡],㎡,156263299,156175898,156092936,155179391.3,154858173.3,153681440.2,152638466.6,152277262
