행정구역(읍면동)별,세대및인구별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
안덕면,세대수,읍면동별 세대및 인구,세대,3885,3968,4087,4221,4528,4779,5632,6033
안덕면,인구,읍면동별 세대및 인구,명,9772,10007,10056,9970,10382,10765,11858,12537
안덕면,남,읍면동별 세대및 인구,,4975,5208,5251,5154,5381,5592,6109,6457
안덕면,여,읍면동별 세대및 인구,,4797,4799,4805,4816,5001,5173,5749,6080
안덕면,한국인,읍면동별 세대및 인구,,9615,9642,9716,9770,10118,10416,11367,11867
안덕면,남,읍면동별 세대및 인구,,4895,4921,4986,5047,5239,5411,5871,6138
안덕면,여,읍면동별 세대및 인구,,4720,4721,4730,4723,4879,5005,5496,5729
안덕면,외국인,읍면동별 세대및 인구,,157,365,340,200,264,349,491,670
안덕면,남,읍면동별 세대및 인구,,80,287,265,107,142,181,238,319
안덕면,여,읍면동별 세대및 인구,,77,78,75,93,122,168,253,351
안덕면,65세 이상 고령자,읍면동별 세대및 인구,명,1973,2026,2068,2088,2140,2215,2264,2314
표선면,세대수,읍면동별 세대및 인구,세대,4572,4634,4787,4906,5142,5296,5736,5922
표선면,인구,읍면동별 세대및 인구,명,10932,10983,11121,11442,11765,12083,12650,12824
표선면,남,읍면동별 세대및 인구,,5568,5587,5674,5849,6035,6216,6534,6647
표선면,여,읍면동별 세대및 인구,,5364,5396,5447,5593,5730,5867,6116,6177
표선면,한국인,읍면동별 세대및 인구,,10748,10783,10890,11148,11433,11689,12220,12374
표선면,남,읍면동별 세대및 인구,,5440,5456,5526,5655,5822,5970,6259,6360
표선면,여,읍면동별 세대및 인구,,5308,5327,5364,5493,5611,5719,5961,6014
표선면,외국인,읍면동별 세대및 인구,,184,200,231,294,332,394,430,450
표선면,남,읍면동별 세대및 인구,,128,131,148,194,213,246,275,287
표선면,여,읍면동별 세대및 인구,,56,69,83,100,119,148,155,163
표선면,65세 이상 고령자,읍면동별 세대및 인구,명,1844,1920,2010,2121,2228,2253,2378,2491
송산동,세대수,읍면동별 세대및 인구,세대,2147,2142,2143,2143,2159,2095,2060,2088
송산동,인구,읍면동별 세대및 인구,명,5174,5160,5210,5130,5216,5032,5001,5027
송산동,남,읍면동별 세대및 인구,,2789,2744,2817,2799,2831,2721,2723,2764
송산동,여,읍면동별 세대및 인구,,2385,2416,2393,2331,2385,2311,2278,2263
송산동,한국인,읍면동별 세대및 인구,,4979,4956,4908,4813,4831,4645,4474,4417
송산동,남,읍면동별 세대및 인구,,2623,2574,2569,2529,2520,2412,2354,2330
송산동,여,읍면동별 세대및 인구,,2356,2382,2339,2284,2311,2233,2120,2087
송산동,외국인,읍면동별 세대및 인구,,195,204,302,317,385,387,527,610
송산동,남,읍면동별 세대및 인구,,166,170,248,270,311,309,369,434
송산동,여,읍면동별 세대및 인구,,29,34,54,47,74,78,158,176
송산동,65세 이상 고령자,읍면동별 세대및 인구,명,771,795,828,858,898,917,936,959
정방동,세대수,읍면동별 세대및 인구,세대,1525,1505,1509,1488,1541,1498,1414,1342
정방동,인구,읍면동별 세대및 인구,명,2947,2900,2856,2779,2806,2710,2551,2444
정방동,남,읍면동별 세대및 인구,,1450,1462,1452,1392,1407,1395,1319,1254
정방동,여,읍면동별 세대및 인구,,1497,1438,1404,1387,1399,1315,1232,1190
정방동,한국인,읍면동별 세대및 인구,,2910,2871,2804,2717,2745,2641,2456,2333
정방동,남,읍면동별 세대및 인구,,1438,1451,1428,1359,1379,1361,1271,1189
정방동,여,읍면동별 세대및 인구,,1472,1420,1376,1358,1366,1280,1185,1144
정방동,외국인,읍면동별 세대및 인구,,37,29,52,62,61,69,95,111
정방동,남,읍면동별 세대및 인구,,12,11,24,33,28,34,48,65
정방동,여,읍면동별 세대및 인구,,25,18,28,29,33,35,47,46
정방동,65세 이상 고령자,읍면동별 세대및 인구,명,425,439,442,455,465,478,479,481
중앙동,세대수,읍면동별 세대및 인구,세대,2218,2230,2275,2370,2313,2239,2133,2124
중앙동,인구,읍면동별 세대및 인구,명,4513,4460,4515,4591,4438,4315,4113,3984
중앙동,남,읍면동별 세대및 인구,,2150,2112,2152,2214,2114,2085,1957,1900
중앙동,여,읍면동별 세대및 인구,,2363,2348,2363,2377,2324,2230,2156,2084
중앙동,한국인,읍면동별 세대및 인구,,4478,4408,4463,4539,4383,4243,4003,3879
중앙동,남,읍면동별 세대및 인구,,2134,2089,2132,2192,2091,2053,1912,1855
중앙동,여,읍면동별 세대및 인구,,2344,2319,2331,2347,2292,2190,2091,2024
중앙동,외국인,읍면동별 세대및 인구,,35,52,52,52,55,72,110,105
중앙동,남,읍면동별 세대및 인구,,16,23,20,22,23,32,45,45
중앙동,여,읍면동별 세대및 인구,,19,29,32,30,32,40,65,60
중앙동,65세 이상 고령자,읍면동별 세대및 인구,명,635,671,692,717,742,747,754,785
천지동,세대수,읍면동별 세대및 인구,세대,1867,1929,1987,1978,1991,1932,1873,1921
천지동,인구,읍면동별 세대및 인구,명,3896,3973,4040,4037,3974,3875,3669,3688
천지동,남,읍면동별 세대및 인구,,1962,1992,2031,2051,2052,1984,1880,1880
천지동,여,읍면동별 세대및 인구,,1934,1981,2009,1986,1922,1891,1789,1808
천지동,한국인,읍면동별 세대및 인구,,3864,3940,3994,3977,3900,3798,3571,3570
천지동,남,읍면동별 세대및 인구,,1940,1972,2003,2012,2004,1943,1831,1816
천지동,여,읍면동별 세대및 인구,,1924,1968,1991,1965,1896,1855,1740,1754
천지동,외국인,읍면동별 세대및 인구,,32,33,46,60,74,77,98,118
천지동,남,읍면동별 세대및 인구,,22,20,28,39,48,41,49,64
천지동,여,읍면동별 세대및 인구,,10,13,18,21,26,36,49,54
천지동,65세 이상 고령자,읍면동별 세대및 인구,명,556,595,632,670,701,710,706,750
효돈동,세대수,읍면동별 세대및 인구,세대,1850,1844,1870,1909,2044,2128,2226,2262
효돈동,인구,읍면동별 세대및 인구,명,5096,5037,5019,4987,5167,5265,5401,5365
효돈동,남,읍면동별 세대및 인구,,2605,2562,2551,2556,2632,2687,2742,2740
효돈동,여,읍면동별 세대및 인구,,2491,2475,2468,2431,2535,2578,2659,2625
효돈동,한국인,읍면동별 세대및 인구,,5070,5005,4981,4936,5108,5193,5320,5278
효돈동,남,읍면동별 세대및 인구,,2591,2544,2524,2520,2594,2639,2694,2683
효돈동,여,읍면동별 세대및 인구,,2479,2461,2457,2416,2514,2554,2626,2595
효돈동,외국인,읍면동별 세대및 인구,,26,32,38,51,59,72,81,87
효돈동,남,읍면동별 세대및 인구,,14,18,27,36,38,48,48,57
효돈동,여,읍면동별 세대및 인구,,12,14,11,15,21,24,33,30
효돈동,65세 이상 고령자,읍면동별 세대및 인구,명,901,942,981,1016,1073,1109,1131,1162
영천동,세대수,읍면동별 세대및 인구,세대,2047,2082,2104,2125,2185,2216,2339,2430
영천동,인구,읍면동별 세대및 인구,명,5012,5016,5046,5043,5124,5134,5350,5478
영천동,남,읍면동별 세대및 인구,,2527,2544,2560,2550,2605,2633,2761,2811
영천동,여,읍면동별 세대및 인구,,2485,2472,2486,2493,2519,2501,2589,2667
영천동,한국인,읍면동별 세대및 인구,,4978,4980,4996,4977,5029,4997,5178,5292
영천동,남,읍면동별 세대및 인구,,2510,2528,2534,2510,2548,2549,2649,2687
영천동,여,읍면동별 세대및 인구,,2468,2452,2462,2467,2481,2448,2529,2605
영천동,외국인,읍면동별 세대및 인구,,34,36,50,66,95,137,172,186
영천동,남,읍면동별 세대및 인구,,17,16,26,40,57,84,112,124
영천동,여,읍면동별 세대및 인구,,17,20,24,26,38,53,60,62
영천동,65세 이상 고령자,읍면동별 세대및 인구,명,951,997,1048,1067,1105,1118,1152,1193
동홍동,세대수,읍면동별 세대및 인구,세대,7540,7653,7851,8050,8281,8488,8620,8933
동홍동,인구,읍면동별 세대및 인구,명,21191,21539,22082,23276,23850,24106,23954,24163
동홍동,남,읍면동별 세대및 인구,,10372,10603,10806,11351,11624,11759,11752,11880
동홍동,여,읍면동별 세대및 인구,,10819,10936,11276,11925,12226,12347,12202,12283
동홍동,한국인,읍면동별 세대및 인구,,21042,21379,21874,22225,22625,22806,22680,22885
동홍동,남,읍면동별 세대및 인구,,10283,10508,10678,10815,11002,11098,11121,11246
동홍동,여,읍면동별 세대및 인구,,10759,10871,11196,11410,11623,11708,11559,11639
동홍동,외국인,읍면동별 세대및 인구,,149,160,208,1051,1225,1300,1274,1278
동홍동,남,읍면동별 세대및 인구,,89,95,128,536,622,661,631,634
동홍동,여,읍면동별 세대및 인구,,60,65,80,515,603,639,643,644
동홍동,65세 이상 고령자,읍면동별 세대및 인구,명,1892,2044,2220,2317,2433,2535,2641,2744
서홍동,세대수,읍면동별 세대및 인구,세대,3395,3514,3709,3832,4021,4192,4240,4240
서홍동,인구,읍면동별 세대및 인구,명,8562,8896,9424,9627,10148,10666,10765,10697
서홍동,남,읍면동별 세대및 인구,,4310,4469,4742,4833,5089,5307,5370,5320
서홍동,여,읍면동별 세대및 인구,,4252,4427,4682,4794,5059,5359,5395,5377
서홍동,한국인,읍면동별 세대및 인구,,8499,8817,9352,9547,10034,10530,10629,10570
서홍동,남,읍면동별 세대및 인구,,4273,4418,4700,4789,5026,5246,5303,5261
서홍동,여,읍면동별 세대및 인구,,4226,4399,4652,4758,5008,5284,5326,5309
서홍동,외국인,읍면동별 세대및 인구,,63,79,72,80,114,136,136,127
서홍동,남,읍면동별 세대및 인구,,37,51,42,44,63,61,67,59
서홍동,여,읍면동별 세대및 인구,,26,28,30,36,51,75,69,68
서홍동,65세 이상 고령자,읍면동별 세대및 인구,명,933,991,1066,1123,1169,1233,1307,1346
대륜동,세대수,읍면동별 세대및 인구,세대,3461,3575,3630,4125,4524,5391,5555,5844
대륜동,인구,읍면동별 세대및 인구,명,9310,9344,9305,10449,11316,13422,13568,14156
대륜동,남,읍면동별 세대및 인구,,4684,4694,4726,5289,5728,6793,6876,7119
대륜동,여,읍면동별 세대및 인구,,4626,4650,4579,5160,5588,6629,6692,7037
대륜동,한국인,읍면동별 세대및 인구,,9246,9280,9212,10325,11192,13271,13389,13958
대륜동,남,읍면동별 세대및 인구,,4656,4669,4682,5227,5670,6725,6792,7022
대륜동,여,읍면동별 세대및 인구,,4590,4611,4530,5098,5522,6546,6597,6936
대륜동,외국인,읍면동별 세대및 인구,,64,64,93,124,124,151,179,198
대륜동,남,읍면동별 세대및 인구,,28,25,44,62,58,68,84,97
대륜동,여,읍면동별 세대및 인구,,36,39,49,62,66,83,95,101
대륜동,65세 이상 고령자,읍면동별 세대및 인구,명,1334,1415,1475,1580,1722,1891,1988,2041
대천동,세대수,읍면동별 세대및 인구,세대,2666,2768,3003,3157,3597,3963,5713,6089
대천동,인구,읍면동별 세대및 인구,명,6949,7179,7416,7489,8227,9124,13235,13930
대천동,남,읍면동별 세대및 인구,,3479,3652,3743,3769,4212,4687,6714,7096
대천동,여,읍면동별 세대및 인구,,3470,3527,3673,3720,4015,4437,6521,6834
대천동,한국인,읍면동별 세대및 인구,,6920,7042,7265,7396,8103,8980,12993,13675
대천동,남,읍면동별 세대및 인구,,3466,3546,3624,3721,4147,4621,6610,6984
대천동,여,읍면동별 세대및 인구,,3454,3496,3641,3675,3956,4359,6383,6691
대천동,외국인,읍면동별 세대및 인구,,29,137,151,93,124,144,242,255
대천동,남,읍면동별 세대및 인구,,13,106,119,48,65,66,104,112
대천동,여,읍면동별 세대및 인구,,16,31,32,45,59,78,138,143
대천동,65세 이상 고령자,읍면동별 세대및 인구,명,1041,1077,1113,1160,1230,1311,1670,1729
중문동,세대수,읍면동별 세대및 인구,세대,3505,3598,3698,3902,4201,4503,4821,5155
중문동,인구,읍면동별 세대및 인구,명,9064,9094,9258,9440,9949,10457,10964,11482
중문동,남,읍면동별 세대및 인구,,4624,4635,4720,4818,5104,5414,5684,5908
중문동,여,읍면동별 세대및 인구,,4440,4459,4538,4622,4845,5043,5280,5574
중문동,한국인,읍면동별 세대및 인구,,8899,8967,9087,9258,9738,10217,10684,11159
중문동,남,읍면동별 세대및 인구,,4543,4584,4639,4732,4998,5294,5546,5758
중문동,여,읍면동별 세대및 인구,,4356,4383,4448,4526,4740,4923,5138,5401
중문동,외국인,읍면동별 세대및 인구,,165,127,171,182,211,240,280,323
중문동,남,읍면동별 세대및 인구,,81,51,81,86,106,120,138,150
중문동,여,읍면동별 세대및 인구,,84,76,90,96,105,120,142,173
중문동,65세 이상 고령자,읍면동별 세대및 인구,명,1244,1307,1380,1447,1500,1586,1673,1737
예래동,세대수,읍면동별 세대및 인구,세대,1443,1474,1507,1593,1643,1704,1848,1985
예래동,인구,읍면동별 세대및 인구,명,3579,3601,3670,3759,3850,3957,4073,4414
예래동,남,읍면동별 세대및 인구,,1783,1780,1810,1888,1952,2000,2074,2252
예래동,여,읍면동별 세대및 인구,,1796,1821,1860,1871,1898,1957,1999,2162
예래동,한국인,읍면동별 세대및 인구,,3520,3535,3589,3668,3750,3813,3927,4136
예래동,남,읍면동별 세대및 인구,,1753,1755,1772,1834,1896,1930,2005,2114
예래동,여,읍면동별 세대및 인구,,1767,1780,1817,1834,1854,1883,1922,2022
예래동,외국인,읍면동별 세대및 인구,,59,66,81,91,100,144,146,278
예래동,남,읍면동별 세대및 인구,,30,25,38,54,56,70,69,138
예래동,여,읍면동별 세대및 인구,,29,41,43,37,44,74,77,140
예래동,65세 이상 고령자,읍면동별 세대및 인구,명,667,678,720,732,748,782,828,839
