면허종별,지역별,항목,단위,2019 년
2종,부산,운전면허소지자현황,,738123
2종,대구,운전면허소지자현황,,503080
2종,인천,운전면허소지자현황,,656062
2종,광주,운전면허소지자현황,,303806
2종,대전,운전면허소지자현황,,324415
2종,울산,운전면허소지자현황,,247743
2종,경기남부,운전면허소지자현황,,2482019
2종,경기북부,운전면허소지자현황,,838017
2종,강원,운전면허소지자현황,,304982
2종,충북,운전면허소지자현황,,329879
2종,충남,운전면허소지자현황,,453160
2종,전북,운전면허소지자현황,,359368
2종,전남,운전면허소지자현황,,356367
2종,경북,운전면허소지자현황,,450461
2종,경남,운전면허소지자현황,,699294
2종,제주,운전면허소지자현황,,146369
2종,세종,운전면허소지자현황,,78186
보통,계,운전면허소지자현황,,11738990
보통,서울,운전면허소지자현황,,2741364
보통,부산,운전면허소지자현황,,723772
보통,대구,운전면허소지자현황,,491726
보통,인천,운전면허소지자현황,,647016
보통,광주,운전면허소지자현황,,298905
보통,대전,운전면허소지자현황,,318795
보통,울산,운전면허소지자현황,,243364
보통,경기남부,운전면허소지자현황,,2451972
보통,경기북부,운전면허소지자현황,,826927
보통,강원,운전면허소지자현황,,293433
보통,충북,운전면허소지자현황,,313479
보통,충남,운전면허소지자현황,,424046
보통,전북,운전면허소지자현황,,337943
보통,전남,운전면허소지자현황,,327813
보통,경북,운전면허소지자현황,,414776
보통,경남,운전면허소지자현황,,666956
보통,제주,운전면허소지자현황,,140430
보통,세종,운전면허소지자현황,,76273
소형,계,운전면허소지자현황,,10588
소형,서울,운전면허소지자현황,,3294
소형,부산,운전면허소지자현황,,851
소형,대구,운전면허소지자현황,,539
소형,인천,운전면허소지자현황,,519
소형,광주,운전면허소지자현황,,184
소형,대전,운전면허소지자현황,,255
소형,울산,운전면허소지자현황,,176
소형,경기남부,운전면허소지자현황,,1551
소형,경기북부,운전면허소지자현황,,567
소형,강원,운전면허소지자현황,,230
소형,충북,운전면허소지자현황,,230
소형,충남,운전면허소지자현황,,399
소형,전북,운전면허소지자현황,,304
소형,전남,운전면허소지자현황,,291
소형,경북,운전면허소지자현황,,449
소형,경남,운전면허소지자현황,,642
소형,제주,운전면허소지자현황,,78
소형,세종,운전면허소지자현황,,29
원동기장치,계,운전면허소지자현황,,302641
원동기장치,서울,운전면허소지자현황,,36230
원동기장치,부산,운전면허소지자현황,,13500
원동기장치,대구,운전면허소지자현황,,10815
원동기장치,인천,운전면허소지자현황,,8527
원동기장치,광주,운전면허소지자현황,,4717
원동기장치,대전,운전면허소지자현황,,5365
원동기장치,울산,운전면허소지자현황,,4203
원동기장치,경기남부,운전면허소지자현황,,28496
원동기장치,경기북부,운전면허소지자현황,,10523
원동기장치,강원,운전면허소지자현황,,11319
원동기장치,충북,운전면허소지자현황,,16170
원동기장치,충남,운전면허소지자현황,,28715
원동기장치,전북,운전면허소지자현황,,21121
원동기장치,전남,운전면허소지자현황,,28263
원동기장치,경북,운전면허소지자현황,,35236
원동기장치,경남,운전면허소지자현황,,31696
원동기장치,제주,운전면허소지자현황,,5861
원동기장치,세종,운전면허소지자현황,,1884
