,pt_month,biz_nm,base_year_month,age,user_cnt,use_cnt,use_amt,pt_year
82,2,휴양콘도 운영업,222193302,43800.0,37046,43629,4653660782,2221911
83,3,건강보조식품 소매업,263963224,53050.0,6243,6577,1925015772,2639593
84,3,골프장 운영업,222584109,46980.0,83281,89296,13672856265,2225808
85,3,과실 및 채소 소매업,1160978159,233690.0,115424,126552,10446621582,11609609
86,3,관광 민예품 및 선물용품 소매업,592101502,111450.0,61599,67067,2632060661,5920927
87,3,그외 기타 분류안된 오락관련 서비스업,20784909,3310.0,273,281,14576500,207846
88,3,그외 기타 스포츠시설 운영업,93233886,17870.0,2712,3119,161106214,932325
89,3,그외 기타 종합 소매업,225821757,42760.0,125896,153037,10601508038,2258184
90,3,기타 갬블링 및 베팅업,2219933,0.0,70,79,570500000,22199
91,3,기타 대형 종합 소매업,195345304,36260.0,358441,415651,21286920140,1953424
92,3,기타 수상오락 서비스업,13927607,2190.0,104,106,19149400,139274
93,3,기타 외국식 음식점업,747493312,148670.0,69903,73237,2725279616,7474822
94,3,기타 주점업,420960858,86060.0,28464,30624,5884752052,4209546
95,3,기타음식료품위주종합소매업,625795003,129390.0,274932,316172,12103857904,6257857
96,3,내항 여객 운송업,54689413,11250.0,28426,29369,914949000,546886
97,3,마사지업,39553788,7630.0,450,491,63357500,395532
98,3,면세점,106956390,19480.0,287450,434183,29860036681,1069548
99,3,버스 운송업,201703,0.0,2,2,630000,2017
100,3,비알콜 음료점업,1140413153,217330.0,349883,382080,3988067372,11403962
101,3,빵 및 과자류 소매업,1150692206,223990.0,388864,417264,5999526810,11506751
102,3,서양식 음식점업,1355954957,257630.0,409855,445487,10480904689,13559348
103,3,수산물 소매업,840112189,170370.0,83000,91516,7662902121,8400997
104,3,슈퍼마켓,1482863344,286750.0,1357058,1618308,44527884058,14828413
105,3,스포츠 및 레크레이션 용품 임대업,751727275,145240.0,88434,96240,11467544607,7517161
106,3,여관업,697843374,134230.0,106941,120439,12489014431,6978330
107,3,여행사업,155791616,27930.0,9067,9514,1776420036,1557893
108,3,욕탕업,534595347,108930.0,38431,41714,1004569353,5345874
109,3,육류 소매업,790261548,161360.0,77641,83589,6106368782,7902498
110,3,일반유흥 주점업,404212609,79490.0,52669,58065,12887027861,4042066
111,3,일식 음식점업,994905590,199680.0,133982,137258,10400093890,9948908
112,3,자동차 임대업,221781797,42300.0,55844,56610,3887742550,2217785
113,3,전시 및 행사 대행업,497248392,94510.0,96415,107353,3965459415,4972410
114,3,정기 항공 운송업,30876259,5760.0,98453,99804,16001237370,308758
115,3,중식 음식점업,1080870468,213250.0,141340,148092,4368527602,10808544
116,3,차량용 가스 충전업,583817679,121610.0,48843,50822,3431669278,5838090
117,3,차량용 주유소 운영업,1271960409,259450.0,803467,851019,48405578589,12719415
118,3,체인화 편의점,1755714700,329990.0,2399147,2748769,22746213952,17556886
119,3,"피자, 햄버거, 샌드위치 및 유사 음식점업",938192447,175320.0,315188,339110,4367961417,9381785
120,3,한식 음식점업,1840661663,350260.0,2433775,2604238,109370056621,18406343
121,3,호텔업,223199318,43420.0,43322,50223,13542842536,2231960
122,3,화장품 및 방향제 소매업,564846897,108860.0,62655,69145,3481932572,5648385
123,3,휴양콘도 운영업,226835272,45350.0,38433,44535,5277651002,2268319
124,4,건강보조식품 소매업,257304200,51870.0,6728,7105,2218283852,2572991
125,4,골프장 운영업,222789016,46370.0,92772,99295,16746608009,2227846
126,4,과실 및 채소 소매업,1183383256,238850.0,129611,142295,11450100811,11833598
127,4,관광 민예품 및 선물용품 소매업,619143572,115500.0,74741,82260,3483181896,6191313
128,4,그외 기타 분류안된 오락관련 서비스업,21996636,3530.0,307,312,18057800,219962
129,4,그외 기타 스포츠시설 운영업,96461912,18660.0,3336,3763,224696200,964600
130,4,그외 기타 종합 소매업,220777276,41230.0,129054,157696,10773280106,2207729
131,4,기타 갬블링 및 베팅업,1412328,0.0,62,66,308800000,14123
132,4,기타 대형 종합 소매업,197364612,36570.0,352490,410886,20899381544,1973607
133,4,기타 수상오락 서비스업,12916656,2110.0,99,106,17268950,129164
134,4,기타 외국식 음식점업,750724380,149990.0,67606,70631,2691468109,7507095
135,4,기타 주점업,420353932,85680.0,27674,29810,5728205428,4203456
136,4,기타음식료품위주종합소매업,636089508,130880.0,286616,330919,12715282549,6360769
137,4,내항 여객 운송업,59331776,11940.0,32230,33376,1154587400,593306
138,4,마사지업,42178536,8060.0,477,508,63829000,421777
139,4,면세점,105745096,19190.0,291837,443350,32020297159,1057430
140,4,버스 운송업,403508,0.0,10,13,33890000,4035
141,4,비알콜 음료점업,1173515060,221750.0,369438,403886,4229708880,11734918
142,4,빵 및 과자류 소매업,1171484020,228620.0,388080,416929,6061819540,11714608
143,4,서양식 음식점업,1401568280,265860.0,430088,469223,11074338111,14015405
144,4,수산물 소매업,853838524,173060.0,89868,99931,8046239297,8538216
145,4,슈퍼마켓,1518394796,293140.0,1391373,1667782,45341592077,15183647
146,4,스포츠 및 레크레이션 용품 임대업,797532408,155190.0,101755,111382,13615424554,7975166
147,4,여관업,720042872,137640.0,117626,132651,15046680252,7200286
148,4,여행사업,162048412,29260.0,9578,10018,1930460413,1620452
149,4,욕탕업,525517916,106340.0,35355,38609,912547558,5255075
150,4,육류 소매업,802977916,164510.0,77805,83746,6050785862,8029620
151,4,일반유흥 주점업,406231852,79650.0,52335,57685,12650549062,4062238
152,4,일식 음식점업,1018521788,203220.0,144119,147710,11870916095,10185016
153,4,자동차 임대업,230864876,44390.0,60915,61818,4566844287,2308603
154,4,전시 및 행사 대행업,520661920,97690.0,124177,142048,6936003166,5206516
155,4,정기 항공 운송업,30876312,5820.0,88382,90072,15885099099,308757
156,4,중식 음식점업,1069779504,211460.0,137679,144391,4320497253,10697583
157,4,차량용 가스 충전업,564247584,118100.0,44914,46930,2935269379,5642364
158,4,차량용 주유소 운영업,1278424740,260510.0,798174,843097,45840942078,12783994
159,4,체인화 편의점,1813438644,339500.0,2533374,2919324,23467308537,18134027
160,4,택시 운송업,403808,0.0,2,2,250000,4038
161,4,"피자, 햄버거, 샌드위치 및 유사 음식점업",952927188,177800.0,321598,347404,4499125443,9529083
162,4,한식 음식점업,1902625812,357430.0,2486664,2659717,116640479859,19025881
163,4,호텔업,226023380,43850.0,43536,50974,15875167491,2260189
164,4,화장품 및 방향제 소매업,582201740,111090.0,62903,69122,3426607264,5821902
165,4,휴양콘도 운영업,238339324,46320.0,45962,53516,6680476538,2383346
166,5,건강보조식품 소매업,280307245,56130.0,6882,7250,2207393689,2803003
167,5,골프장 운영업,223598440,46350.0,104319,111929,19721107173,2235929
168,5,과실 및 채소 소매업,1181772980,235100.0,126452,138383,10398685375,11817437
169,5,관광 민예품 및 선물용품 소매업,648812075,120110.0,78867,86749,3288851462,6487960
170,5,그외 기타 분류안된 오락관련 서비스업,22601760,3760.0,441,455,22927785,226012
171,5,그외 기타 스포츠시설 운영업,104940700,20550.0,3652,4191,318108300,1049381
172,5,그외 기타 종합 소매업,238936820,44270.0,138382,165862,11236337790,2389309
173,5,기타 갬블링 및 베팅업,1210830,0.0,57,74,445400000,12108
174,5,기타 대형 종합 소매업,198979130,36880.0,395228,460273,23874739290,1989742
175,5,기타 수상오락 서비스업,20988020,3180.0,166,173,31120800,209875
176,5,기타 외국식 음식점업,764045530,152050.0,68740,71497,2722956917,7640266
177,5,기타 주점업,427826700,86860.0,28241,30307,5758386347,4278161
178,5,기타음식료품위주종합소매업,646989830,132510.0,309031,353893,14108014343,6469738
